anthracene 0.192 -7.306 -7.307 -0.307
acridine 0.194 -7.818 -7.822 -0.650
phenazine 0.196 -8.259 -8.261 -1.081
azulene 0.196 -7.338 -7.335 -0.503
benzoquinone 0.278 -10.438 -10.443 -1.441
naphthalenedione 0.214 -9.735 -9.741 -1.398
dichlone 0.218 -9.778 -9.779 -1.836
F4-benzoquinone 0.274 -11.031 -11.035 -2.229
Cl4-benzoquinone 0.232 -10.111 -10.111 -2.401
nitrobenzene 0.220 -10.040 -10.038 -0.488
F4-benzenedicarbonitrile 0.228 -10.601 -10.602 -1.615
dinitrobenzonitrile 0.228 -11.078 -11.080 -1.740
nitrobenzonitrile 0.228 -10.519 -10.519 -1.299
benzonitrile 0.238 -9.786 -9.788 0.283
fumaronitrile 0.314 -11.377 -11.374 -0.895
mDCNB 0.236 -10.319 -10.321 -0.575
TCNE 0.288 -11.906 -11.907 -3.084
TCNQ 0.236 -9.489 -9.491 -3.411
maleicanhydride 0.304 -11.471 -11.470 -0.857
phthalimide 0.210 -9.916 -9.914 -0.528
phthalicanhydride 0.210 -10.377 -10.375 -0.785
Cl4-isobenzofuranedione 0.200 -9.920 -9.914 -1.584
NDCA 0.194 -8.947 -8.949 -1.213
bodipy 0.190 -8.010 -8.005 -1.565
